generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,26,0.09800493173049063,15.506175994873047,"[-0.8241183744858495, -0.8276496251831127, -0.28507100466761354, -0.13059846809337924, 0.13428145025938293, 0.18062419937181506, 0.9480239268061474, 0.6527543404704733, 0.5551541499672861, 0.02545725968456608, -0.32460504993474104, 0.17765575455027502, 0.1896740388564949, -0.0294664440076909, 0.9477431013773212, 0.6722937024399757, 0.535490005348239, 0.08922368643928227, -0.7282059859549601, 0.12744329828201809, -0.07790599650846382, -0.010408192040861635, 0.9317608710561406, -0.9968253744767214]","[-0.7944285754033188, -0.7794768224329155, -0.23763281560171132, 0.001848135974753286, 0.04605247810263315, 0.03239076928993893, 0.9638626804982897, 0.6147107383736032, 0.5570840996141755, -0.03460716974062979, -0.2938379627497721, 0.07952915755380956, 0.062356471864311196, -0.0035579762252229, 1.0589619714055738, 0.571517756513781, 0.5376934596868873, -0.016103652594066264, -0.9569207710821213, 0.0039066929369244476, -0.018949724618780972, 0.0059510284058446, 1.1739361982853458, -1.0825379734799936]",15.506175994873047,"[-0.8241183744858495, -0.8276496251831127, -0.28507100466761354, -0.13059846809337924, 0.13428145025938293, 0.18062419937181506, 0.9480239268061474, 0.6527543404704733, 0.5551541499672861, 0.02545725968456608, -0.32460504993474104, 0.17765575455027502, 0.1896740388564949, -0.0294664440076909, 0.9477431013773212, 0.6722937024399757, 0.535490005348239, 0.08922368643928227, -0.7282059859549601, 0.12744329828201809, -0.07790599650846382, -0.010408192040861635, 0.9317608710561406, -0.9968253744767214]",15.506175994873047,41.132543748567024,23.353542032367358
2,52,0.10039985646991861,15.506175994873047,"[-0.8241183744858495, -0.8276496251831127, -0.28507100466761354, -0.13059846809337924, 0.13428145025938293, 0.18062419937181506, 0.9480239268061474, 0.6527543404704733, 0.5551541499672861, 0.02545725968456608, -0.32460504993474104, 0.17765575455027502, 0.1896740388564949, -0.0294664440076909, 0.9477431013773212, 0.6722937024399757, 0.535490005348239, 0.08922368643928227, -0.7282059859549601, 0.12744329828201809, -0.07790599650846382, -0.010408192040861635, 0.9317608710561406, -0.9968253744767214]","[-0.8008923301187679, -0.7672691932076747, -0.23758208215993354, -0.021152783406920006, 0.06457911002188951, 0.08730702027007406, 0.910104089032981, 0.6056691372378267, 0.5794803879512622, -0.10463863654186403, -0.35452763546388816, 0.12282581195517697, 0.06495449241977745, -0.06184439830837258, 1.030423432294348, 0.5468704231615398, 0.49863730030092857, -0.02537253812055675, -0.9632847871285831, -0.030966754814779264, 0.01146428182646867, -0.011434927299456369, 1.1932644259930905, -1.0853421814292552]",16.92285442352295,"[-0.8064056739649628, -0.7001765157178401, -0.2601629913313489, 0.03857731656811224, 0.20973805447159294, 0.3284534410316446, 0.8364062000877802, 0.7086415314239182, 0.5231275281181045, -0.18619330524162603, -0.405020129191612, 0.17847475598225138, 0.18193348302132534, -0.10434597848933977, 0.9799656728184771, 0.5775459077649845, 0.42723118737453414, -0.030498286460037518, -0.9257946138678234, 0.07108545819738356, 0.02810222042267086, 0.03824338432021465, 0.9884455791925754, -0.9311948651109136]",16.92285442352295,38.75353820507343,21.295453604421528
3,78,0.09778656611255071,15.506175994873047,"[-0.8241183744858495, -0.8276496251831127, -0.28507100466761354, -0.13059846809337924, 0.13428145025938293, 0.18062419937181506, 0.9480239268061474, 0.6527543404704733, 0.5551541499672861, 0.02545725968456608, -0.32460504993474104, 0.17765575455027502, 0.1896740388564949, -0.0294664440076909, 0.9477431013773212, 0.6722937024399757, 0.535490005348239, 0.08922368643928227, -0.7282059859549601, 0.12744329828201809, -0.07790599650846382, -0.010408192040861635, 0.9317608710561406, -0.9968253744767214]","[-0.8312502897038927, -0.7447890026189514, -0.20198513164915827, -0.03926836714167442, 0.013967316941317963, 0.037355781581627515, 0.9383307961993406, 0.6280312110865759, 0.5626274222333214, -0.13462364743945598, -0.39692127633980645, 0.10292992177562679, 0.08240669893286118, 0.0092245982525405, 1.0491339595650708, 0.582688141289347, 0.4581628465390476, -0.033060011164110385, -0.9469712873656392, 0.03714031444351352, -0.01975370970030442, -0.014439735878760764, 1.1612864360219548, -1.0741777820720262]",15.601962089538574,"[-0.7871563425146393, -0.847184885755971, -0.40161832103998407, -0.21817839431946134, -0.18612416298395837, -0.05793189104539001, 0.8229348749478593, 0.619925822898337, 0.6424011454910745, -0.14941358619270406, -0.4320617682971915, 0.06278724158141293, 0.067920512355707, 0.0745671049494033, 0.9544101823523347, 0.6017637077665187, 0.4797376142652386, -0.03460659087487424, -0.8448422636512052, 0.1366696343745723, -0.05346236159342465, -0.012483193815948545, 0.9944777902548676, -0.9974820059919101]",15.601962089538574,38.72713372362061,22.569708425748008
4,104,0.09485522909296099,15.506175994873047,"[-0.8241183744858495, -0.8276496251831127, -0.28507100466761354, -0.13059846809337924, 0.13428145025938293, 0.18062419937181506, 0.9480239268061474, 0.6527543404704733, 0.5551541499672861, 0.02545725968456608, -0.32460504993474104, 0.17765575455027502, 0.1896740388564949, -0.0294664440076909, 0.9477431013773212, 0.6722937024399757, 0.535490005348239, 0.08922368643928227, -0.7282059859549601, 0.12744329828201809, -0.07790599650846382, -0.010408192040861635, 0.9317608710561406, -0.9968253744767214]","[-0.8545535326973787, -0.6781371824128228, -0.17367869256459442, -0.03613480851028332, -0.03959351309297909, 0.030511738802584336, 0.9318132875554093, 0.5785764431069335, 0.5455348851994256, -0.08807581520819906, -0.3723116864149158, 0.10981816644799433, 0.04881328262151677, 0.056803425802333184, 1.0416938641225515, 0.6042714873812843, 0.4618033758324491, -0.06755179995792358, -0.9092591683701616, -0.0134365008286339, -0.03636244232222363, 0.0037513434135526135, 1.1537542657482236, -1.112013979925146]",18.73274040222168,"[-0.9058375507850978, -0.6518102716059411, -0.07678060885065022, -0.04717684330815456, -0.04788404778568536, 0.08132292944917949, 0.911652551958608, 0.6099261207418355, 0.6001750717984012, -0.09307525368649944, -0.31073661340990055, 0.17164532447857167, 0.04930327565345396, 0.1760266109495748, 0.869450669378633, 0.5618378923647637, 0.44672522952057914, -0.08355569417363551, -0.8150198549962191, -0.12542940594163393, -0.037637930529073195, -0.046115963410144845, 0.9905191899527714, -0.8717499719749804]",18.73274040222168,41.58805317145128,21.7224754884476
5,130,0.0925804832406886,15.506175994873047,"[-0.8241183744858495, -0.8276496251831127, -0.28507100466761354, -0.13059846809337924, 0.13428145025938293, 0.18062419937181506, 0.9480239268061474, 0.6527543404704733, 0.5551541499672861, 0.02545725968456608, -0.32460504993474104, 0.17765575455027502, 0.1896740388564949, -0.0294664440076909, 0.9477431013773212, 0.6722937024399757, 0.535490005348239, 0.08922368643928227, -0.7282059859549601, 0.12744329828201809, -0.07790599650846382, -0.010408192040861635, 0.9317608710561406, -0.9968253744767214]","[-0.8742888447758482, -0.6309166387258872, -0.21481971610817957, 0.028103304345901175, -0.04526071051381222, 0.0857898916648371, 0.9361771534017284, 0.5618138372326258, 0.55912367759518, -0.05091316129701558, -0.4019384229618422, 0.10096357734775076, 0.022202213876595822, 0.04678679023560393, 1.0965064391164068, 0.5721020321624907, 0.4725785783786438, -0.06737601933002896, -0.8898908401382968, -0.055697423137649915, -0.011060370963154263, -0.017353282755353916, 1.1338543283695237, -1.1121791338052947]",15.66488790512085,"[-0.9114381453074227, -0.6512845535962555, -0.26469760923209384, 0.021756009808373396, -0.1682059589690969, 0.14803319189853487, 0.9730697261301784, 0.5284258179117356, 0.714891060327874, -0.045532173146230606, -0.4298629943550999, 0.0075450149186604976, -0.02209511546862085, 0.16894039731948565, 0.947195867464334, 0.6567177633197722, 0.35712165080097513, -0.03210933782806229, -0.7854403529432376, -0.07058447859724531, 0.14652901184089417, -0.008345329457620553, 0.9042996514831386, -0.952028007375956]",15.66488790512085,36.96074189360325,21.59103924341958
6,156,0.09123596486819613,15.472342491149902,"[-0.9291615657484323, -0.7020344181103909, -0.13468824764974874, -0.03934206145827118, -0.05517803862957512, 0.1206659152517654, 0.9139280533114665, 0.6276107370514608, 0.5583856900149273, -0.12996350299675707, -0.4469040775166451, 0.04333226942523361, 0.08610344611738742, 0.09114073445643045, 0.9766119567185064, 0.7052060944473421, 0.36877128727126485, 0.035215478516510454, -0.8119925472646762, -0.06751026838176433, 0.01766862882376813, -0.01168840933284188, 0.9887290630222063, -0.8690091861486422]","[-0.9145971816633035, -0.6184294045676583, -0.16949371966524837, -0.020829654057095078, -0.08312327082970673, 0.08505211370946208, 0.9242380127186203, 0.6098357125212636, 0.5199578141224078, -0.08239690962937572, -0.4055923510460269, 0.13074575741283626, 0.04952079558749961, 0.06566805163216236, 1.0906769672677694, 0.5879727754354719, 0.5050372795260599, -0.03236104585993405, -0.8508657229147971, -0.06766692505943235, 0.011817157073999916, -0.012024955674852946, 1.1185805802151256, -1.1480579088178742]",15.472342491149902,"[-0.9291615657484323, -0.7020344181103909, -0.13468824764974874, -0.03934206145827118, -0.05517803862957512, 0.1206659152517654, 0.9139280533114665, 0.6276107370514608, 0.5583856900149273, -0.12996350299675707, -0.4469040775166451, 0.04333226942523361, 0.08610344611738742, 0.09114073445643045, 0.9766119567185064, 0.7052060944473421, 0.36877128727126485, 0.035215478516510454, -0.8119925472646762, -0.06751026838176433, 0.01766862882376813, -0.01168840933284188, 0.9887290630222063, -0.8690091861486422]",15.472342491149902,49.83857330909142,67.23507198567488
7,182,0.09193415180958371,13.587220191955566,"[-0.9346330357997922, -0.8339557922380828, -0.18100290948939537, -0.01912871321341215, -0.034856136165772746, 0.11249018015632668, 0.99581867071962, 0.6212068263180545, 0.3573859819202886, -0.06209028009400411, -0.3012549884193473, 0.11533851060357739, 0.05550781003687752, 0.08278997335471071, 0.9796456282025092, 0.6119484893868324, 0.5954548215281031, -0.0709892452417882, -0.6867182035460448, -0.127226150067314, -0.03274603190253919, -0.017947162964372557, 0.9830040504672446, -0.9923487762730456]","[-0.9177853814358315, -0.6432292787706302, -0.12738472094839295, -0.029512221543405815, -0.034158323458257284, 0.10611307068793206, 0.9810809613282766, 0.6124638291345765, 0.448624958505629, -0.08607665537648258, -0.3709077419315403, 0.13251819289949648, 0.07796090520975307, 0.044459342382360774, 1.1163963900319105, 0.6096227787919148, 0.5679282104055449, -0.004069388479788182, -0.7731425967196847, -0.0702562615981286, -0.022053151448244244, -0.010915995622209287, 1.1121902875759833, -1.120504977641684]",13.587220191955566,"[-0.9346330357997922, -0.8339557922380828, -0.18100290948939537, -0.01912871321341215, -0.034856136165772746, 0.11249018015632668, 0.99581867071962, 0.6212068263180545, 0.3573859819202886, -0.06209028009400411, -0.3012549884193473, 0.11533851060357739, 0.05550781003687752, 0.08278997335471071, 0.9796456282025092, 0.6119484893868324, 0.5954548215281031, -0.0709892452417882, -0.6867182035460448, -0.127226150067314, -0.03274603190253919, -0.017947162964372557, 0.9830040504672446, -0.9923487762730456]",13.587220191955566,47.55123235629155,69.52092055588845
8,208,0.09239469481228302,13.587220191955566,"[-0.9346330357997922, -0.8339557922380828, -0.18100290948939537, -0.01912871321341215, -0.034856136165772746, 0.11249018015632668, 0.99581867071962, 0.6212068263180545, 0.3573859819202886, -0.06209028009400411, -0.3012549884193473, 0.11533851060357739, 0.05550781003687752, 0.08278997335471071, 0.9796456282025092, 0.6119484893868324, 0.5954548215281031, -0.0709892452417882, -0.6867182035460448, -0.127226150067314, -0.03274603190253919, -0.017947162964372557, 0.9830040504672446, -0.9923487762730456]","[-0.8994991427830783, -0.5952904007798862, -0.07997416482510109, -0.018773625446719438, -0.059742147882240235, 0.0723296022065266, 0.9903130413111999, 0.6156594468035818, 0.4255158130950895, -0.06486174046403285, -0.36866093802650485, 0.18575119104776278, 0.043161680543986405, 0.030990407576904848, 1.0958642271024492, 0.5902482827482185, 0.5558959236310197, -0.014532320957650387, -0.7295320548463792, -0.06706838742915701, -0.03227017201853923, -0.006879709668314206, 1.0920217956690397, -1.1354619892534716]",14.047526836395264,"[-0.884661764956642, -0.6004344891880958, 0.06529627589100107, -0.09129461962453238, -0.10625860831239091, -0.009961773036124083, 0.8362633351148043, 0.51472101248701, 0.44799333423885157, -0.13774810204897253, -0.4630205622965866, 0.19588591282976153, 0.20529421920231816, -0.02873385318463783, 0.9921436035056869, 0.5866769198931548, 0.5389244023536155, 0.02662886680530503, -0.7704252175573204, -2.5491814160102932e-05, -0.045680807702755837, 0.0014591170926320004, 0.9996011783743773, -0.9781544668220613]",14.047526836395264,56.74028942218194,77.25721375179444
9,234,0.09256248524744352,12.682651996612549,"[-0.8549821868254042, -0.49582926858190723, -0.14883637781148804, -0.0740352556630784, -0.16377598558545708, 0.10078673923942776, 0.9838669409109587, 0.6575506865886205, 0.3613280609831869, 0.06013413213391473, -0.3954987626176735, 0.31314835249676887, 0.11620083455415488, 0.24246074657778138, 0.9944225563281731, 0.4418840308707108, 0.502964585065542, 0.011880606740817406, -0.6573399634615422, -0.07262896174154636, -0.12190347188840864, -0.012643112703633677, 0.9155221325641559, -0.9885302733565453]","[-0.8961663104751716, -0.5276927030379099, -0.10701098869558577, -0.02354787505783182, -0.06498944888432683, 0.05919310252921444, 0.9945012337784496, 0.6058548016660442, 0.37347531459745764, -0.07184525143876853, -0.3577478656190718, 0.18388587683779445, 0.01059264848126809, 0.04601520289852377, 1.0862828794116581, 0.5382059354023723, 0.544796907824501, 0.0018390147227503575, -0.7080305926249085, -0.05320377485597154, -0.03304917047548462, -0.007730208134759849, 1.0790212427989985, -1.1306335881290501]",12.682651996612549,"[-0.8549821868254042, -0.49582926858190723, -0.14883637781148804, -0.0740352556630784, -0.16377598558545708, 0.10078673923942776, 0.9838669409109587, 0.6575506865886205, 0.3613280609831869, 0.06013413213391473, -0.3954987626176735, 0.31314835249676887, 0.11620083455415488, 0.24246074657778138, 0.9944225563281731, 0.4418840308707108, 0.502964585065542, 0.011880606740817406, -0.6573399634615422, -0.07262896174154636, -0.12190347188840864, -0.012643112703633677, 0.9155221325641559, -0.9885302733565453]",12.682651996612549,28.840534356924202,16.36144475094397
10,260,0.090166296679184,12.486994743347168,"[-0.8466062087452443, -0.5704332058520244, -0.004094363673592713, -0.1957591409042482, -0.14817463884270315, -0.011221962081991534, 0.9954472718192936, 0.5107338051831889, 0.3850840770666353, -0.07424735904258241, -0.4913104550413845, 0.22677746545985963, -0.06324926443615371, -0.007802555958912397, 0.8966385417228123, 0.724635061616658, 0.5284226970876299, -0.008712517211240108, -0.5930701588866559, -0.016534996070571337, -0.04837611094793598, -0.010081206302728579, 0.9952049764439994, -0.9651808137311483]","[-0.8778351092221679, -0.5494111704192471, -0.05801429724491865, -0.07345500851524833, -0.06301426567596975, 0.09836289568109716, 1.0466996058776512, 0.5977944412355468, 0.4354832071447078, -0.033013447021943955, -0.3592776993870435, 0.16791416986732788, 0.00047949275666860243, 0.05168128774058151, 1.0885744205056576, 0.6257174522672301, 0.5131639376207663, 0.021489521691796586, -0.6819407480537547, -0.06544303324678918, -0.029467995778287962, -0.0008438870610163368, 1.1045870813026284, -1.163365010967452]",12.486994743347168,"[-0.8466062087452443, -0.5704332058520244, -0.004094363673592713, -0.1957591409042482, -0.14817463884270315, -0.011221962081991534, 0.9954472718192936, 0.5107338051831889, 0.3850840770666353, -0.07424735904258241, -0.4913104550413845, 0.22677746545985963, -0.06324926443615371, -0.007802555958912397, 0.8966385417228123, 0.724635061616658, 0.5284226970876299, -0.008712517211240108, -0.5930701588866559, -0.016534996070571337, -0.04837611094793598, -0.010081206302728579, 0.9952049764439994, -0.9651808137311483]",12.486994743347168,35.433295585501654,19.895733633207193
