generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,26,0.09492757440961261,10.439169645309448,"[-0.6810671613105294, -0.6069311362473593, -0.32192062182583986, -0.0499244937135142, -0.04692581930777465, -0.2976167865465711, 0.9960250706852196, -0.059543438376502375, -0.38770868949682025, 0.7468999799300402, -0.004537310827668998, 0.1581644206264693, -0.07022168014626125, 0.9220605919851944, 0.3627747190518897, 0.0014119094006956419, -0.44862089540181493, 0.059842350039372355, -0.10034617181843364, -0.1202480663973603, 0.9991453451203153]","[-0.7338846338084686, -0.705526016433116, -0.2794790994435757, 0.009969550456261812, -0.0348565561871393, -0.07725321573140752, 1.0711797509759957, -0.12456900418848602, -0.3960336158149805, 0.734940754283719, 0.018411982931548995, 0.021793174438837437, -0.002576965316565602, 1.1139084915584698, 0.4916090973091611, -0.009617857406291798, -0.3591114069994575, -0.04626886269714895, -0.030577082120694113, -0.009104942102604062, 1.0396025884241187]",10.439169645309448,"[-0.6810671613105294, -0.6069311362473593, -0.32192062182583986, -0.0499244937135142, -0.04692581930777465, -0.2976167865465711, 0.9960250706852196, -0.059543438376502375, -0.38770868949682025, 0.7468999799300402, -0.004537310827668998, 0.1581644206264693, -0.07022168014626125, 0.9220605919851944, 0.3627747190518897, 0.0014119094006956419, -0.44862089540181493, 0.059842350039372355, -0.10034617181843364, -0.1202480663973603, 0.9991453451203153]",10.439169645309448,14.830147779904879,10.392702060505176
2,52,0.09592847832343485,9.799484133720398,"[-0.8020694169371352, -0.6802967881188473, -0.35351946737940126, 0.002662058329616036, 0.01312260652600044, -0.07381858242298787, 0.9160019782374375, -0.10636086395061506, -0.12643883512245213, 0.7124668145010107, -0.11272636795542224, -0.003180801053551976, 0.04532122551146814, 0.9918367131892092, 0.41207344147246894, 0.07303218766744433, -0.4510296162185091, 0.08100815965319161, -0.013425056934748773, 0.015690617677754454, 0.935457030784742]","[-0.7708914359044478, -0.6925388470001481, -0.2962892225228988, 0.015086783105000131, -0.039522717624916846, -0.06911668691134547, 1.120326449892167, -0.12608658664421366, -0.29878529895348155, 0.6917879073375066, -0.06385487508363041, -0.002920203343997296, 0.037916466909116396, 1.0917225270123836, 0.49106441251050587, 0.0003649357841859561, -0.42398774100109443, -0.04239581580700986, -0.016481416561503832, 0.0026773488521858887, 1.1088715943360823]",9.799484133720398,"[-0.8020694169371352, -0.6802967881188473, -0.35351946737940126, 0.002662058329616036, 0.01312260652600044, -0.07381858242298787, 0.9160019782374375, -0.10636086395061506, -0.12643883512245213, 0.7124668145010107, -0.11272636795542224, -0.003180801053551976, 0.04532122551146814, 0.9918367131892092, 0.41207344147246894, 0.07303218766744433, -0.4510296162185091, 0.08100815965319161, -0.013425056934748773, 0.015690617677754454, 0.935457030784742]",9.799484133720398,14.539284199476242,11.587551449018093
3,78,0.0997067551355622,9.228415131568909,"[-0.8679179722221307, -0.5483838814294185, -0.3363138371729343, -0.004987305316431991, -0.11306833072574354, -0.00521090574011511, 0.9007595987623519, -0.20279765896275131, -0.3292209876073055, 0.6897075460322754, -0.16701120401974948, -0.11038381053743453, 0.1438256807700478, 0.8550460691322342, 0.5828798236645244, 0.010262390234195996, -0.4528386424252341, 0.05637723999515085, 0.025625102843944505, -0.012650291621936914, 0.9871375488950738]","[-0.8028545256824309, -0.6216701164108994, -0.26533334549513243, -0.0037612893139818944, -0.07237896512003021, -0.08453296700800017, 1.1619089820893376, -0.15778666036122835, -0.31986734801596267, 0.6684639834687554, -0.07818380569768606, 0.006531694187071634, 0.11545556606521301, 1.1029344436351156, 0.5123221860081143, -0.025433722137355164, -0.45382774825999955, 0.007225426595072501, 0.006780489572547604, -0.01216139125834094, 1.0972895830078795]",9.228415131568909,"[-0.8679179722221307, -0.5483838814294185, -0.3363138371729343, -0.004987305316431991, -0.11306833072574354, -0.00521090574011511, 0.9007595987623519, -0.20279765896275131, -0.3292209876073055, 0.6897075460322754, -0.16701120401974948, -0.11038381053743453, 0.1438256807700478, 0.8550460691322342, 0.5828798236645244, 0.010262390234195996, -0.4528386424252341, 0.05637723999515085, 0.025625102843944505, -0.012650291621936914, 0.9871375488950738]",9.228415131568909,20.03097989467474,32.02201651303929
4,104,0.10274788330156595,9.228415131568909,"[-0.8679179722221307, -0.5483838814294185, -0.3363138371729343, -0.004987305316431991, -0.11306833072574354, -0.00521090574011511, 0.9007595987623519, -0.20279765896275131, -0.3292209876073055, 0.6897075460322754, -0.16701120401974948, -0.11038381053743453, 0.1438256807700478, 0.8550460691322342, 0.5828798236645244, 0.010262390234195996, -0.4528386424252341, 0.05637723999515085, 0.025625102843944505, -0.012650291621936914, 0.9871375488950738]","[-0.7935851383024013, -0.5839139738513974, -0.2503508584462628, -0.03164058994424384, -0.12366322804355805, -0.0782499441248153, 1.1229136798795136, -0.18570842186853279, -0.3092550309823215, 0.6742250637436373, -0.04477164356449527, 0.07222140721740733, 0.1157590412469441, 1.075744190870544, 0.46572092648844754, -0.07314796379818442, -0.4827508862164753, 0.049162639248330364, -0.02497893776110456, -0.03246684245961865, 1.122397635670258]",9.553755104541779,"[-0.7219430467781738, -0.5711555462712856, -0.21262713697703617, -0.034725687112690314, -0.11359129997747022, -0.15224001613372334, 0.9401390452524452, -0.16041777173851213, -0.28387524267312225, 0.6707023728098561, -0.08352008454088822, 0.14391533068444795, 0.12349672431076766, 0.9830847479582633, 0.4435597827132042, -0.06664943372443682, -0.5978556568647325, 0.14035175504795241, -0.10803297536324315, -0.11412260771295411, 0.9732224521192505]",9.553755104541779,17.073687938543465,13.975913284570298
5,130,0.10718207481408794,9.228415131568909,"[-0.8679179722221307, -0.5483838814294185, -0.3363138371729343, -0.004987305316431991, -0.11306833072574354, -0.00521090574011511, 0.9007595987623519, -0.20279765896275131, -0.3292209876073055, 0.6897075460322754, -0.16701120401974948, -0.11038381053743453, 0.1438256807700478, 0.8550460691322342, 0.5828798236645244, 0.010262390234195996, -0.4528386424252341, 0.05637723999515085, 0.025625102843944505, -0.012650291621936914, 0.9871375488950738]","[-0.786927510810801, -0.5715697557632444, -0.15865918831714068, -0.004800422912033193, -0.16717587323280622, -0.05632184627454759, 1.1137381003912477, -0.23621776939505015, -0.22659212003783513, 0.6174930403570128, -0.021842468553421916, 0.06417110231774427, 0.055189331374417526, 1.021185396974605, 0.4568882447780778, -0.03816476091900345, -0.49290024438923075, 0.010644738440199454, -0.01971539267542195, 0.01808048762207032, 1.1015952555990156]",9.416551232337952,"[-0.8289597503784286, -0.5984388779302561, -0.07075159010170098, -0.01796379396213693, -0.14916873456669447, -0.1741492280232289, 0.9740463946168293, -0.31104074062872966, -0.10461354683722479, 0.6050022623987472, -0.058931800586897884, 0.007729532451306781, -0.11018003837547423, 0.9996482532306591, 0.4435503676980393, -0.1767496401066364, -0.5097399903807764, -0.15417456014100636, 0.05692774727854262, 0.003011681088788652, 0.942827848561704]",9.416551232337952,14.147829617445286,11.509519682539306
6,156,0.11191036435178056,8.47726559638977,"[-0.8125592176110854, -0.5823226660971969, -0.10207989549983373, -0.1035138710747717, -0.1788275039711727, -0.017615825203889345, 0.8325958348375727, -0.29269074250153676, -0.3197680201012961, 0.46661788280580696, -0.31645541855797965, 0.058944022896582994, 0.08140907006937961, 0.9783998317790588, 0.4776487250961841, -0.12483578947061723, -0.5916554054919569, 0.1277770563002234, 0.025400071915949615, 0.08926050225071086, 0.9080813435740348]","[-0.8377527807461237, -0.5514185821760843, -0.12168721785896942, -0.06600376538706637, -0.17929894374499625, -0.019180893724886863, 1.1392481538717296, -0.25771918483114953, -0.23629185137335915, 0.5724125269658171, -0.07858783639233115, 0.07813624161258802, 0.07675916917728016, 1.0162819880566172, 0.482192949034821, -0.08284020035906758, -0.5315433810641249, 0.007090693022641317, 0.0006821790218214637, 0.021393001328719633, 1.076050068189545]",8.47726559638977,"[-0.8125592176110854, -0.5823226660971969, -0.10207989549983373, -0.1035138710747717, -0.1788275039711727, -0.017615825203889345, 0.8325958348375727, -0.29269074250153676, -0.3197680201012961, 0.46661788280580696, -0.31645541855797965, 0.058944022896582994, 0.08140907006937961, 0.9783998317790588, 0.4776487250961841, -0.12483578947061723, -0.5916554054919569, 0.1277770563002234, 0.025400071915949615, 0.08926050225071086, 0.9080813435740348]",8.47726559638977,17.517027121323807,14.863951206544757
7,182,0.11186323487155514,8.47726559638977,"[-0.8125592176110854, -0.5823226660971969, -0.10207989549983373, -0.1035138710747717, -0.1788275039711727, -0.017615825203889345, 0.8325958348375727, -0.29269074250153676, -0.3197680201012961, 0.46661788280580696, -0.31645541855797965, 0.058944022896582994, 0.08140907006937961, 0.9783998317790588, 0.4776487250961841, -0.12483578947061723, -0.5916554054919569, 0.1277770563002234, 0.025400071915949615, 0.08926050225071086, 0.9080813435740348]","[-0.8334384135632162, -0.49062285710741177, -0.13948848502052646, -0.009818477617392657, -0.13276618432454323, -0.05166343777398641, 1.1316053014167253, -0.282224897336538, -0.24035197510581086, 0.5444226684505502, -0.03433903000134255, 0.09690058252087759, 0.0313748396115279, 1.0555146138772937, 0.5292706078980143, -0.055377561307109656, -0.5507347847618255, 0.020704274946540546, 0.037916700918505075, -0.01661332677504402, 1.0429260180257298]",9.013847708702087,"[-0.7726080859817845, -0.4682000713144967, -0.19736535984316594, 0.06013985178361339, -0.08852066941355137, -0.08463380138611148, 0.9278309312047849, -0.1825960638161142, -0.276534255738253, 0.5529203703811255, 0.05164175455629101, 0.006921453751341497, 0.13395658900468543, 0.8052566529119388, 0.6363981162150084, -0.039877672826394775, -0.558690277072124, -0.004066126043881411, 0.10544611359821573, -0.04401604854615017, 0.9309897252199472]",9.013847708702087,25.610358712764885,46.56955970561072
8,208,0.10750462231521436,8.47726559638977,"[-0.8125592176110854, -0.5823226660971969, -0.10207989549983373, -0.1035138710747717, -0.1788275039711727, -0.017615825203889345, 0.8325958348375727, -0.29269074250153676, -0.3197680201012961, 0.46661788280580696, -0.31645541855797965, 0.058944022896582994, 0.08140907006937961, 0.9783998317790588, 0.4776487250961841, -0.12483578947061723, -0.5916554054919569, 0.1277770563002234, 0.025400071915949615, 0.08926050225071086, 0.9080813435740348]","[-0.7358677901676379, -0.5316835267758742, -0.16701694152502006, 0.011164644899632743, -0.15888886631356647, -0.00469083029280464, 1.1650915229739545, -0.27686430905262954, -0.21589588267091642, 0.5844862083905221, -0.00603288579695282, 0.09992681099424344, 0.0665664056412409, 1.0987361617314695, 0.524401114741954, -0.001598451253810903, -0.59300752483162, 0.04133477385411527, 0.027219580647193837, -0.007854665363156217, 1.1048009189734438]",8.587684333324432,"[-0.6262480013528648, -0.6022130522823578, -0.141197934438347, 0.05046928534238095, -0.08403943927398627, 0.06062080552309651, 0.9932664879778553, -0.34427341107502174, -0.07927869838449692, 0.6148363415054141, 0.02808596822263648, 0.06260670967674566, 0.14933572934556194, 0.8247388381470987, 0.5569389153569525, -0.003851885358430597, -0.623444453322272, -0.04435179123273546, 0.04452440898472933, -0.053091850888117846, 0.907489534287392]",8.587684333324432,17.921288239268158,30.733690338168003
9,234,0.10168359637488329,8.47726559638977,"[-0.8125592176110854, -0.5823226660971969, -0.10207989549983373, -0.1035138710747717, -0.1788275039711727, -0.017615825203889345, 0.8325958348375727, -0.29269074250153676, -0.3197680201012961, 0.46661788280580696, -0.31645541855797965, 0.058944022896582994, 0.08140907006937961, 0.9783998317790588, 0.4776487250961841, -0.12483578947061723, -0.5916554054919569, 0.1277770563002234, 0.025400071915949615, 0.08926050225071086, 0.9080813435740348]","[-0.7637326266233434, -0.5797531695469003, -0.19777703396899127, 0.03031043990252975, -0.16289044369233419, -0.038285126646785184, 1.1391939286294677, -0.2723959230894432, -0.18348715186115727, 0.5000341656143187, -0.04409646726256409, 0.01431126211135527, 0.04011939551670773, 1.089391614950853, 0.5415939029053152, 0.034265295963797855, -0.5497960476411852, 0.009024958860397838, 0.028737096774062415, 0.02942955942731946, 1.1120459146996649]",9.161705315113068,"[-0.7906148799313045, -0.6173979530237848, -0.198095569018466, -0.0024208885214051148, -0.18516888419711247, 0.03300957787342589, 0.8964537464600076, -0.22732304137889034, -0.21678792062269842, 0.36046544874673275, -0.0844753399261716, -0.05570776733719085, -0.016906110431819568, 0.9611072158945129, 0.6150502815347418, -0.014660379734382232, -0.536125974676104, 0.1535068401311448, 0.08044602095210389, 0.09920857971926603, 0.9994649322704959]",9.161705315113068,23.03817167648902,32.11913651859954
10,260,0.0986383609366275,8.47726559638977,"[-0.8125592176110854, -0.5823226660971969, -0.10207989549983373, -0.1035138710747717, -0.1788275039711727, -0.017615825203889345, 0.8325958348375727, -0.29269074250153676, -0.3197680201012961, 0.46661788280580696, -0.31645541855797965, 0.058944022896582994, 0.08140907006937961, 0.9783998317790588, 0.4776487250961841, -0.12483578947061723, -0.5916554054919569, 0.1277770563002234, 0.025400071915949615, 0.08926050225071086, 0.9080813435740348]","[-0.7322927631019279, -0.5832630801962192, -0.18335301030073814, 0.03458991314434132, -0.14456945315303835, -0.03904539914431642, 1.1811339588671717, -0.23294769973594287, -0.19081310065185086, 0.4699377177166778, -0.07936548903549892, 0.057413407505210616, 0.09989488807531241, 1.0637348963380269, 0.5076791401316668, 0.08006746517683287, -0.6074627992427093, -0.026967758248645977, -0.008687152581946092, 0.044597306493388736, 1.0854909743612953]",8.612135529518127,"[-0.7868856989695917, -0.6863464579690841, -0.22488252376600812, 0.028930935002293757, -0.017935864689894027, -0.09487615513933716, 0.9943340551720289, -0.25230354845208414, -0.023030919769324476, 0.40828027790942545, -0.2047679668144482, 0.031024176451236164, 0.0955035549748642, 0.9851796529402463, 0.5378569271420226, 0.18242243306301834, -0.6107151793223553, -0.1129488461062426, 0.025906496905958715, 0.028368296045554263, 0.9303448474601504]",8.612135529518127,13.201384273859171,10.662402164516958
