generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,26,0.09396862971039345,10.351314425468445,"[-0.9270804984982571, -0.7833397904662316, -0.267779453921833, 0.07885030329060617, -0.03838312615581059, 0.13634044706717205, 0.8297013608330555, -0.08619056213995575, -0.38354801498836644, 0.7528550681700861, -0.22933665639497886, 0.06445181447486868, 0.11872015812907973, 0.9898299231921874, 0.39983247592003657, -0.06482142002581977, -0.4230615995667717, 0.04553035815262448, -0.07884260378166731, -0.0978363052111787, 0.9983605342658177]","[-0.7794659331914806, -0.75949006785494, -0.27314609833658005, -0.009705842322133748, -0.002275734645547769, 0.025925595053215768, 1.0099062145345477, -0.08702867460442452, -0.35544782122666485, 0.7469233401054145, -0.08720007964147962, -0.06365053334445375, 0.048263435347305116, 1.0747605116587726, 0.5056661596322253, -0.01501447430630384, -0.3301630453663499, -0.003247441173371699, 0.00905097651782683, -0.031868724164556834, 1.0634233542672875]",10.351314425468445,"[-0.9270804984982571, -0.7833397904662316, -0.267779453921833, 0.07885030329060617, -0.03838312615581059, 0.13634044706717205, 0.8297013608330555, -0.08619056213995575, -0.38354801498836644, 0.7528550681700861, -0.22933665639497886, 0.06445181447486868, 0.11872015812907973, 0.9898299231921874, 0.39983247592003657, -0.06482142002581977, -0.4230615995667717, 0.04553035815262448, -0.07884260378166731, -0.0978363052111787, 0.9983605342658177]",10.351314425468445,13.364514263776632,7.514001878045795
2,52,0.09296158810367494,10.137954354286194,"[-0.8341356022305372, -0.8546924511018111, -0.14968242576998536, -0.29284692917252736, 0.09435305311795865, 0.0006207010738369725, 0.7842325299462015, 0.03930367161936181, -0.15344979690624172, 0.9934841955483288, -0.1746957805922808, -0.043796034324498315, -0.12273498993204682, 0.973734546865712, 0.4700553071142416, 0.009682591671688934, -0.49310302262706784, 0.07015074119778109, 0.07117478664026411, -0.011984901898639079, 0.9998985660154642]","[-0.7790338614231345, -0.7480944521582557, -0.25231873801905896, -0.05661257381622632, 0.00493820817812936, 0.03242783819358935, 0.9919115515963032, -0.0521199658749275, -0.3281946284304334, 0.7936559260342482, -0.09672601262233761, -0.014956367639034034, 0.015723727306279592, 1.0226847290255012, 0.48104079902461655, -0.03994044074693473, -0.40783764172456644, -0.017588112951056837, 0.03259882338643858, -0.03816331867920279, 1.1159125669382115]",10.137954354286194,"[-0.8341356022305372, -0.8546924511018111, -0.14968242576998536, -0.29284692917252736, 0.09435305311795865, 0.0006207010738369725, 0.7842325299462015, 0.03930367161936181, -0.15344979690624172, 0.9934841955483288, -0.1746957805922808, -0.043796034324498315, -0.12273498993204682, 0.973734546865712, 0.4700553071142416, 0.009682591671688934, -0.49310302262706784, 0.07015074119778109, 0.07117478664026411, -0.011984901898639079, 0.9998985660154642]",10.137954354286194,26.06148191369497,46.12265234756101
3,78,0.08955900023438514,9.952801704406738,"[-0.8602090910593932, -0.6877992923305478, -0.2173761946315919, 0.05548572120485605, 0.008424613695657158, -0.14042763358541338, 0.9842945416957235, -0.12885858402497727, -0.34502607929666307, 0.7776313688433371, 0.04018036950366695, -0.00791191087264409, 0.04952880760615726, 0.9939014179683389, 0.4615178959737875, 0.052026256153867315, -0.46411188602998976, -0.12689059158370142, 0.019588827049169685, 0.0044056551360125845, 0.9450594537797633]","[-0.792217422326518, -0.7050917993186129, -0.2443895278657379, -0.017995851046488667, -0.008070033905210798, 0.03782569607798617, 1.012842717482632, -0.07066085214745928, -0.31689059314350726, 0.7950531953892497, -0.04251240864475431, -0.006565192784532979, 0.003124214289741202, 0.981681645783879, 0.5233486731967829, -0.00022481965970802932, -0.44549346516556215, -0.018228636222872237, 0.03152035652380021, -0.01688854380282706, 1.1177155482581191]",9.952801704406738,"[-0.8602090910593932, -0.6877992923305478, -0.2173761946315919, 0.05548572120485605, 0.008424613695657158, -0.14042763358541338, 0.9842945416957235, -0.12885858402497727, -0.34502607929666307, 0.7776313688433371, 0.04018036950366695, -0.00791191087264409, 0.04952880760615726, 0.9939014179683389, 0.4615178959737875, 0.052026256153867315, -0.46411188602998976, -0.12689059158370142, 0.019588827049169685, 0.0044056551360125845, 0.9450594537797633]",9.952801704406738,22.855504102431812,44.734152455851216
4,104,0.09168469894465789,9.692746758460999,"[-0.8353433728540769, -0.6733093313215692, -0.11115252543524914, -0.1614411719935817, -0.15720575365929956, -0.10060247263245436, 0.9912256345611548, -0.16967839493177325, -0.3178333120031314, 0.8076142715169072, -0.0254852055301043, -0.0029751371806852837, -0.05512726095404382, 0.9065496413408077, 0.5122699098105642, -0.1660348998935262, -0.5103450311981208, 0.05448648110564376, -0.07992844183738369, -0.153138634726692, 0.9384513181095416]","[-0.8173647258014253, -0.6639542101433055, -0.2143110115933375, -0.041841935948117075, -0.044318354832560164, -0.026340485838861567, 0.9434280195841398, -0.06674761050882114, -0.3359613138180339, 0.8196048171531304, -0.060851568178909084, -0.008065608585976098, -0.017541571513833308, 0.9567033280776367, 0.5437604887810797, -0.051866847485336404, -0.49712175445167445, 0.012987500433974666, -0.012195022604649068, -0.035677892450420245, 1.0816416292179583]",9.692746758460999,"[-0.8353433728540769, -0.6733093313215692, -0.11115252543524914, -0.1614411719935817, -0.15720575365929956, -0.10060247263245436, 0.9912256345611548, -0.16967839493177325, -0.3178333120031314, 0.8076142715169072, -0.0254852055301043, -0.0029751371806852837, -0.05512726095404382, 0.9065496413408077, 0.5122699098105642, -0.1660348998935262, -0.5103450311981208, 0.05448648110564376, -0.07992844183738369, -0.153138634726692, 0.9384513181095416]",9.692746758460999,12.196702482608648,7.4571911046488015
5,130,0.09009398309801755,9.315582752227783,"[-0.8012875708769518, -0.6132642397293061, -0.17782785283618466, 0.03785419373622693, 0.11913755568704221, -0.04726934884321917, 0.8994463093294424, -0.19575063930551148, -0.33675672765815823, 0.8747892846362179, -0.018985419022542055, 0.13418693223605094, -0.0348372626383751, 0.9227164772962684, 0.5792880319775428, -0.026871758396814667, -0.5769174419646109, -0.10928804734220131, 0.061317662513141566, -0.09656286072475877, 0.8269139997346867]","[-0.8318934418175542, -0.7058688321010286, -0.21143750868448896, -0.03038086247094278, 0.014872729638114616, -0.02445648072422152, 0.9256939071517784, -0.11183241155921242, -0.36541472602587244, 0.8163409368953899, -0.09391352216568793, -0.021668345219673465, -0.05361178588627251, 0.946853265753424, 0.5650976699662581, -0.019698783151325956, -0.5058989794842746, 0.02094070603508487, 0.011810015790746382, -0.048084652653392, 1.1118620139330622]",9.315582752227783,"[-0.8012875708769518, -0.6132642397293061, -0.17782785283618466, 0.03785419373622693, 0.11913755568704221, -0.04726934884321917, 0.8994463093294424, -0.19575063930551148, -0.33675672765815823, 0.8747892846362179, -0.018985419022542055, 0.13418693223605094, -0.0348372626383751, 0.9227164772962684, 0.5792880319775428, -0.026871758396814667, -0.5769174419646109, -0.10928804734220131, 0.061317662513141566, -0.09656286072475877, 0.8269139997346867]",9.315582752227783,12.556401491165161,7.515622823520117
6,156,0.08786553469721396,9.315582752227783,"[-0.8012875708769518, -0.6132642397293061, -0.17782785283618466, 0.03785419373622693, 0.11913755568704221, -0.04726934884321917, 0.8994463093294424, -0.19575063930551148, -0.33675672765815823, 0.8747892846362179, -0.018985419022542055, 0.13418693223605094, -0.0348372626383751, 0.9227164772962684, 0.5792880319775428, -0.026871758396814667, -0.5769174419646109, -0.10928804734220131, 0.061317662513141566, -0.09656286072475877, 0.8269139997346867]","[-0.8347294087062194, -0.6812398342414189, -0.23753560454844133, -0.08841035307836845, -0.007662630536147607, -0.023409752173049553, 0.9370385217949065, -0.13742318466225154, -0.3680548150329312, 0.7938368240170349, -0.04054941744443318, -0.034452488738320464, -0.04197522432642298, 0.930754609977184, 0.5372488360943651, -0.05051611881969511, -0.55265724399984, 0.012103277487722223, 0.03265490370494456, -0.0014452291295235188, 1.131569769838208]",9.355295419692993,"[-0.8217445488633071, -0.6356767296203724, -0.15688171516902494, -0.18634541055403614, -0.008899990873206387, 0.015602616015118344, 0.9955285931430256, -0.2229490166609382, -0.4617477652758924, 0.6986536266138966, 0.05742989832439305, -0.0127362769552216, -0.02214900103828118, 0.9014141715391698, 0.5637361318706458, -0.13517215751185604, -0.5290663365532691, -0.03769606446384049, 0.024511190924011442, -0.0806388649971537, 0.9116425747735454]",9.355295419692993,13.694389810928932,10.592219256396628
7,182,0.09078827616110778,8.443493843078613,"[-0.9997182881734165, -0.8168830687933777, -0.24246463952940744, -0.19843679903255854, -0.0938184403664928, 0.06928586112634859, 0.9055503633228973, -0.2706155875285301, -0.44855015075723914, 0.8478368071128559, -0.1639328013933136, -0.0038227406020372896, -0.006413795377058704, 0.9614262614654613, 0.4794985130522862, -0.08179658873195572, -0.6837314726340767, -0.1510650686117967, -0.023463746081115316, -0.020251560639538754, 0.9681038511951698]","[-0.9061700420369928, -0.6927022429253835, -0.20778563373073478, -0.09860670962703003, -0.0765911636156999, 0.019367171772462763, 0.9592608175149482, -0.1640539947615654, -0.3730119828758155, 0.8315984782685819, -0.0758886328409717, 0.0024960420333654375, -0.004776230045512305, 0.9116772670665754, 0.5453490579117751, -0.03740910014026755, -0.6187181734001045, -0.03071222213052638, 0.023327148853478773, 0.013036023058352494, 1.0981417441497527]",8.443493843078613,"[-0.9997182881734165, -0.8168830687933777, -0.24246463952940744, -0.19843679903255854, -0.0938184403664928, 0.06928586112634859, 0.9055503633228973, -0.2706155875285301, -0.44855015075723914, 0.8478368071128559, -0.1639328013933136, -0.0038227406020372896, -0.006413795377058704, 0.9614262614654613, 0.4794985130522862, -0.08179658873195572, -0.6837314726340767, -0.1510650686117967, -0.023463746081115316, -0.020251560639538754, 0.9681038511951698]",8.443493843078613,13.840168877289845,10.593974267257872
8,208,0.0866714572795031,8.443493843078613,"[-0.9997182881734165, -0.8168830687933777, -0.24246463952940744, -0.19843679903255854, -0.0938184403664928, 0.06928586112634859, 0.9055503633228973, -0.2706155875285301, -0.44855015075723914, 0.8478368071128559, -0.1639328013933136, -0.0038227406020372896, -0.006413795377058704, 0.9614262614654613, 0.4794985130522862, -0.08179658873195572, -0.6837314726340767, -0.1510650686117967, -0.023463746081115316, -0.020251560639538754, 0.9681038511951698]","[-0.8967952460331666, -0.6735352511580088, -0.14811351811092482, -0.08291877117866146, -0.07992719544730001, 0.005634159570056678, 0.9626177892542624, -0.09328865109770793, -0.3472732948815566, 0.8279724462378389, -0.07645948667593828, -0.016134116859394573, -0.013804784018885439, 0.9366273717650557, 0.5340289301142847, -0.0627908744539295, -0.5913929066438064, -0.004169634321160703, 0.023257176573838266, 0.00844814652236152, 1.0418186963612965]",8.92556118965149,"[-0.9456461572357697, -0.6293565337191749, -0.147567839796265, -0.09427861122173384, -0.17841061184663526, -0.009577688222561432, 0.9779032635083059, 0.02396751690302512, -0.33193276718935594, 0.9372085247064288, -0.13840074460997237, 0.12074584985199971, -0.07308794685319057, 0.9473749871334166, 0.5209778005359902, -0.07913809344517422, -0.5986079055810797, 0.029709946467302448, 0.07317540170824824, -0.03455344267105137, 0.9875374593347523]",8.92556118965149,15.083540987509947,12.361556592407894
9,234,0.08452949161399914,8.443493843078613,"[-0.9997182881734165, -0.8168830687933777, -0.24246463952940744, -0.19843679903255854, -0.0938184403664928, 0.06928586112634859, 0.9055503633228973, -0.2706155875285301, -0.44855015075723914, 0.8478368071128559, -0.1639328013933136, -0.0038227406020372896, -0.006413795377058704, 0.9614262614654613, 0.4794985130522862, -0.08179658873195572, -0.6837314726340767, -0.1510650686117967, -0.023463746081115316, -0.020251560639538754, 0.9681038511951698]","[-0.8626864343960802, -0.608013684591105, -0.15201865718393873, -0.06397022399646142, -0.09671198398765533, 0.02630668847738302, 0.9785884804258155, -0.05118335032608869, -0.3621549713930364, 0.8004375081355313, -0.01760047339064818, 0.02907485952816167, 0.008743875602922025, 0.9593220844144142, 0.5459436379262693, -0.013612258518374953, -0.6091437096592675, 0.0054828100299708195, 0.004073451637738836, 0.010426434912671954, 1.0527505421088388]",8.778803288936615,"[-0.8117143676158831, -0.5633788245826323, -0.12240287301858731, 0.03821674681633662, -0.05945449095029635, 0.00415196153495774, 0.9988254948246014, -0.040053719615975106, -0.38918041870491116, 0.7401057327405421, 0.005383720365882694, 0.08016227386485955, 0.05541891776308276, 0.9505007154167924, 0.564029656888376, 0.02001943151315462, -0.6038024843578935, -0.006584752422819038, -0.0023281635092915615, -0.058935370333252246, 0.9981819383677168]",8.778803288936615,19.720210497195904,32.76425157944519
10,260,0.08499577726221202,8.443493843078613,"[-0.9997182881734165, -0.8168830687933777, -0.24246463952940744, -0.19843679903255854, -0.0938184403664928, 0.06928586112634859, 0.9055503633228973, -0.2706155875285301, -0.44855015075723914, 0.8478368071128559, -0.1639328013933136, -0.0038227406020372896, -0.006413795377058704, 0.9614262614654613, 0.4794985130522862, -0.08179658873195572, -0.6837314726340767, -0.1510650686117967, -0.023463746081115316, -0.020251560639538754, 0.9681038511951698]","[-0.9007718030646401, -0.6058629059378675, -0.10515639191557381, -0.04327488923415041, -0.06852307477018196, 0.011063705646773152, 1.0145783344290158, -0.06673465773722728, -0.3358860000171402, 0.7954288379180033, -0.046975626255416715, 0.08031211649972843, 0.0287044883655604, 1.0057407913209593, 0.5576836347356421, 0.05828102448336022, -0.6007819255296717, -0.039924063555587946, 0.019484084932867598, 0.006390982256367745, 1.0839124109663185]",8.521034955978394,"[-0.9983183638390608, -0.6597177944205637, -0.1260651900753528, -0.06666435690312189, 0.04077051196989158, -0.03325571280077068, 0.9847594171384999, -0.12899414948997212, -0.3504729523108847, 0.8001602196712003, -0.07084263966762427, 0.07214679174346644, 0.03450289735918219, 0.9916487529035759, 0.4619023365079562, 0.15877577835080758, -0.5799051317442979, 0.013029090564600498, 0.019722022759074042, 0.026591771117096222, 0.9939860284648196]",8.521034955978394,14.62167139007495,12.467128728345033
