generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,26,0.09475789229476121,56.78310686349869,"[-0.7639801064424586, -0.5357730221070747, -0.004891507201159273, -0.1006470268692554, -0.19995009689092652, 0.09714704703222476, 0.912358940514893, -0.12087395044558409, -0.4983638693541616, 0.769474863998862, 0.19957082198469336, -0.0546404641991565, 0.12407171189686324, 0.9934248845066955, 0.4291013555397844, 0.09862696342910893, -0.3249612776900283, 0.039348489025052606, -0.030861223194787187, 0.169489960973781, 0.9999987502588698]","[-0.738233366488968, -0.7451382106905101, -0.1802868402297358, -0.046748267421089, -0.04285328229011834, 0.0007626428434602539, 1.0283421049636052, -0.06349941257493706, -0.4022972042835474, 0.756790172700321, 0.08510766876237598, -0.03249615197529822, 0.027978832464802286, 1.0852750410287757, 0.5068409796216901, 0.051201025006084463, -0.26573316118344054, 0.026939153590496173, 0.042021570643868036, 0.023999929856629746, 1.0231010475607394]",56.78310686349869,"[-0.7639801064424586, -0.5357730221070747, -0.004891507201159273, -0.1006470268692554, -0.19995009689092652, 0.09714704703222476, 0.912358940514893, -0.12087395044558409, -0.4983638693541616, 0.769474863998862, 0.19957082198469336, -0.0546404641991565, 0.12407171189686324, 0.9934248845066955, 0.4291013555397844, 0.09862696342910893, -0.3249612776900283, 0.039348489025052606, -0.030861223194787187, 0.169489960973781, 0.9999987502588698]",56.78310686349869,63.077074647815884,4.920049352762116
2,52,0.09070399568742436,56.104637796699535,"[-0.6651921866273769, -0.8448537088832846, -0.1234488881084781, -0.21707898099446424, -0.06141044158020987, 0.0491299967321391, 0.9351376293598171, -0.10043175068131047, -0.37989605341907534, 0.7668200012075765, -0.1735444000748449, 0.023750094107390915, -0.03251385954397025, 0.9805249576781195, 0.4139712952244748, -0.04186953272773947, -0.36905284633955615, -0.021385803198919556, 0.09264496858806068, -0.04953374393110131, 0.9931289894649338]","[-0.7438472079748394, -0.739790889741504, -0.11733451750315012, -0.06201320275213959, -0.020054058300241973, 0.04133081145427911, 0.9904365537837991, -0.07146939397572162, -0.3956823154369444, 0.8061162729954843, 0.07383077080159328, -0.056093728856468655, -0.008891226082181418, 1.0935641577109296, 0.5161053686373601, 0.05815390718677304, -0.2833657442660147, 0.002190117975901463, 0.03433157673499412, 0.032466875207850195, 1.04085406061933]",56.104637796699535,"[-0.6651921866273769, -0.8448537088832846, -0.1234488881084781, -0.21707898099446424, -0.06141044158020987, 0.0491299967321391, 0.9351376293598171, -0.10043175068131047, -0.37989605341907534, 0.7668200012075765, -0.1735444000748449, 0.023750094107390915, -0.03251385954397025, 0.9805249576781195, 0.4139712952244748, -0.04186953272773947, -0.36905284633955615, -0.021385803198919556, 0.09264496858806068, -0.04953374393110131, 0.9931289894649338]",56.104637796699535,67.74382852240691,24.765651689767505
3,78,0.09343967913130247,54.015079855918884,"[-0.8548136499836453, -0.8163357335182966, -0.11650918641359846, -0.16702636569952253, -0.11933162752737325, 0.11724469498505026, 0.8679779609195982, -0.05383455570294665, -0.39097536950292394, 0.8252536093640933, 0.19223355516256058, -0.03596991564018703, -0.04515317950243494, 0.9752236466593601, 0.5465717828893302, 0.21614320294302725, -0.33738328772617737, 0.13624756390360984, 0.11701265222249202, 0.11109333698195592, 0.9922090113934825]","[-0.7731381645861716, -0.7828004263536308, -0.07583049321255235, -0.08323441525851627, -0.06394387317096847, 0.06817698640735119, 1.0408790986898588, -0.02795495202509396, -0.39045267049172805, 0.88007901391543, 0.11447768385443179, -0.022195936312814385, -0.03322043229834823, 1.0835115106716313, 0.49359090159172003, 0.10517857326057917, -0.31113517804237534, 0.03549613425402568, 0.04150715116053045, -0.005945895150386222, 1.0488173385335269]",54.015079855918884,"[-0.8548136499836453, -0.8163357335182966, -0.11650918641359846, -0.16702636569952253, -0.11933162752737325, 0.11724469498505026, 0.8679779609195982, -0.05383455570294665, -0.39097536950292394, 0.8252536093640933, 0.19223355516256058, -0.03596991564018703, -0.04515317950243494, 0.9752236466593601, 0.5465717828893302, 0.21614320294302725, -0.33738328772617737, 0.13624756390360984, 0.11701265222249202, 0.11109333698195592, 0.9922090113934825]",54.015079855918884,62.63351443082516,13.97797463438452
4,104,0.0991577398813098,52.64060574769974,"[-0.904780507819549, -0.7565941684671607, -0.022065065191181954, -0.2182435890021349, -0.041992569200188026, 0.08210218549038382, 0.8864545987556324, -0.03447270155320515, -0.3582143928252681, 0.9511133294355151, 0.17479605805344398, -0.2409115587550286, 0.05378195730427847, 0.9982822205813692, 0.5159063057037603, 0.08935190584572758, -0.3502352057303077, -0.11398432372444436, 0.004965636381382137, -0.0008702100647960155, 0.8777847439185393]","[-0.8637756273158366, -0.7450641774429528, -0.04068987953127673, -0.0887958103282958, -0.04395432073257983, 0.0865124077797919, 1.0847608082077123, 0.018014911933642404, -0.33967246629106285, 0.9138561732223254, 0.11859772199585884, -0.06665622077912692, -0.038214527645057325, 1.1064340171553853, 0.47129205832136384, 0.11570410640336962, -0.3057943414778329, -0.020539434118797953, 0.04069742143147655, -0.019654027590476682, 1.0234413468277415]",52.64060574769974,"[-0.904780507819549, -0.7565941684671607, -0.022065065191181954, -0.2182435890021349, -0.041992569200188026, 0.08210218549038382, 0.8864545987556324, -0.03447270155320515, -0.3582143928252681, 0.9511133294355151, 0.17479605805344398, -0.2409115587550286, 0.05378195730427847, 0.9982822205813692, 0.5159063057037603, 0.08935190584572758, -0.3502352057303077, -0.11398432372444436, 0.004965636381382137, -0.0008702100647960155, 0.8777847439185393]",52.64060574769974,67.70764545032384,32.67807503703091
5,130,0.10470888366737079,51.90143942832947,"[-0.8971379026768364, -0.6466051694734304, 0.09644924386854073, -0.057683108646804745, 0.19111952607567564, 0.08910503152111646, 0.9980518928508054, -0.07983016432832271, -0.4053097029820789, 0.9514699087678378, 0.08356115826351285, 0.003939953678998784, 0.0124591090925988, 0.9178757068129361, 0.43064153271805494, 0.2264330113813591, -0.334271837234853, -0.033898161476191624, -0.044550725883910965, -0.006090568163942453, 0.9626671216391435]","[-0.919091986314509, -0.7203266119772895, 0.055467667740716084, -0.08313468989037524, -0.0005142760007330328, 0.1341593971239446, 1.07920307403468, -0.026654226111860843, -0.31436521805340767, 0.8898206084062763, 0.07427843221570725, -0.0790908955292917, -0.011389168115472378, 1.1239205458056878, 0.4570195396904289, 0.07765498375301395, -0.28992252238882926, -0.01508074016250838, 0.0034223115794433487, 0.03066396420699677, 1.032521840348951]",51.90143942832947,"[-0.8971379026768364, -0.6466051694734304, 0.09644924386854073, -0.057683108646804745, 0.19111952607567564, 0.08910503152111646, 0.9980518928508054, -0.07983016432832271, -0.4053097029820789, 0.9514699087678378, 0.08356115826351285, 0.003939953678998784, 0.0124591090925988, 0.9178757068129361, 0.43064153271805494, 0.2264330113813591, -0.334271837234853, -0.033898161476191624, -0.044550725883910965, -0.006090568163942453, 0.9626671216391435]",51.90143942832947,63.59776241504229,26.657821252091836
6,156,0.11292747625929608,48.96807783842087,"[-0.9906571355127266, -0.666576403453549, 0.07621955047927009, -0.16933601756611333, -0.07484183584326076, 0.13992199102345365, 0.983987615440281, 0.035476961705168814, -0.2793350878813239, 0.8586866959420908, 0.004353889860142596, -0.11953726714384709, -0.1318108504918517, 0.9028955539300708, 0.36094256116861295, 0.11700661853327796, -0.46317252034223394, 0.017907137203449348, -0.023006833632868002, 0.023189162193382726, 0.9947652075501366]","[-0.9676157842684551, -0.6661454051546601, 0.1055572035355263, -0.1262846005309583, -0.03371602399489221, 0.12782365990498215, 1.128532495269676, 0.004659253688102961, -0.3001551714951147, 0.9101249558678381, 0.038949645424077875, -0.10322789778677229, -0.0734138674644034, 1.1533333679665503, 0.4175370878057121, 0.09623610805174036, -0.34208341117528573, 0.0046125463875455325, 0.0015436664169478072, 0.02021471597589639, 1.041324736260335]",48.96807783842087,"[-0.9906571355127266, -0.666576403453549, 0.07621955047927009, -0.16933601756611333, -0.07484183584326076, 0.13992199102345365, 0.983987615440281, 0.035476961705168814, -0.2793350878813239, 0.8586866959420908, 0.004353889860142596, -0.11953726714384709, -0.1318108504918517, 0.9028955539300708, 0.36094256116861295, 0.11700661853327796, -0.46317252034223394, 0.017907137203449348, -0.023006833632868002, 0.023189162193382726, 0.9947652075501366]",48.96807783842087,57.495021125445,17.751978156897316
7,182,0.12146818122245875,11.5089830160141,"[-0.9998830364298535, -0.582583231841528, 0.23440755906105742, -0.21943215799286014, 0.1517059522059252, 0.1559842540802191, 0.8112084708086416, -0.03549056035489433, -0.35125594384621295, 0.8077644189971428, 0.18911808568895383, -0.2371023623659138, 0.18182020898640847, 0.743700722068153, 0.37004067111021144, 0.19006944540360687, -0.4624190377674783, -0.07466394883368856, -0.09260652997990446, 0.017018539292051854, 0.982853156887865]","[-1.0353884441454462, -0.6184614600575645, 0.15014216945630843, -0.12544904928607245, 0.025103886506857794, 0.1412191640209598, 1.07087651263801, 0.029551320949099725, -0.2547812947659139, 0.883732111761262, 0.0012121126599507462, -0.0725893566055589, -0.047322497302038455, 1.1994429960117756, 0.3975395032475656, 0.12371509968734155, -0.37001683245375383, -0.025551340944094718, -0.014641119342750161, -0.024817962138053463, 1.0087831485691103]",11.5089830160141,"[-0.9998830364298535, -0.582583231841528, 0.23440755906105742, -0.21943215799286014, 0.1517059522059252, 0.1559842540802191, 0.8112084708086416, -0.03549056035489433, -0.35125594384621295, 0.8077644189971428, 0.18911808568895383, -0.2371023623659138, 0.18182020898640847, 0.743700722068153, 0.37004067111021144, 0.19006944540360687, -0.4624190377674783, -0.07466394883368856, -0.09260652997990446, 0.017018539292051854, 0.982853156887865]",11.5089830160141,54.9883754666035,16.319822092310595
8,208,0.12970452259125026,10.22347342967987,"[-0.9917902316648717, -0.5091592179901363, 0.1708624225356678, -0.2003821411247657, -0.0453797202752351, 0.11830062642761402, 0.9957760511660962, -0.21832752175874734, -0.5598328116965049, 0.984335361356792, -0.17200315339330466, -0.2725058260298274, -0.05087368212143435, 0.9372166690969465, 0.4579110040524397, 0.2439043231017945, -0.4932689898389333, -0.12467174294766412, -0.02007467979228001, -0.16737626161612074, 0.9718547251656972]","[-1.0646852948536514, -0.5673269728109817, 0.2369586475125387, -0.13186775742882237, 0.020543075996508762, 0.09906918647183957, 1.0243343295274991, -0.03995708120599515, -0.33435410900735085, 0.909074478763865, -0.025086434370229487, -0.13389633589034086, -0.04152433871713113, 1.1600428258652848, 0.35349112578618436, 0.12489846982577531, -0.3945627752733297, -0.07831274424849577, 0.008399650821913105, -0.05705054408842406, 1.0824358350635521]",10.22347342967987,"[-0.9917902316648717, -0.5091592179901363, 0.1708624225356678, -0.2003821411247657, -0.0453797202752351, 0.11830062642761402, 0.9957760511660962, -0.21832752175874734, -0.5598328116965049, 0.984335361356792, -0.17200315339330466, -0.2725058260298274, -0.05087368212143435, 0.9372166690969465, 0.4579110040524397, 0.2439043231017945, -0.4932689898389333, -0.12467174294766412, -0.02007467979228001, -0.16737626161612074, 0.9718547251656972]",10.22347342967987,49.191667930437966,31.175891904256574
9,234,0.1426706922263762,10.22347342967987,"[-0.9917902316648717, -0.5091592179901363, 0.1708624225356678, -0.2003821411247657, -0.0453797202752351, 0.11830062642761402, 0.9957760511660962, -0.21832752175874734, -0.5598328116965049, 0.984335361356792, -0.17200315339330466, -0.2725058260298274, -0.05087368212143435, 0.9372166690969465, 0.4579110040524397, 0.2439043231017945, -0.4932689898389333, -0.12467174294766412, -0.02007467979228001, -0.16737626161612074, 0.9718547251656972]","[-1.0576678550275607, -0.4720081787943832, 0.3001458864300065, -0.11014774671386625, 0.08981434256685468, 0.07916305509787556, 1.0334158876802433, -0.12132409890877875, -0.3349329181848064, 0.9755262853959321, -0.158367611878388, -0.17726263570686396, -0.039857123217087946, 1.1577191152904498, 0.4002787887632272, 0.1904356023772697, -0.42383505118961434, -0.04602558894826339, -0.017844860791208363, -0.004269904273231554, 1.0930064868528648]",11.145086765289307,"[-0.998943450591869, -0.5283056431936883, 0.18276242661765335, -0.03417068489017058, 0.11166717197130148, -0.010109277447670512, 0.9880494157817777, -0.20695587545549754, -0.37914328720632584, 0.9900631773118362, -0.2919459088823915, -0.24401265974180286, -0.16264692886185783, 0.9990125852458828, 0.42874961695213704, 0.3279630916452285, -0.4392892894757735, -0.20378706890908937, 0.035322909158233204, -0.05548929036084947, 0.9444170010158234]",11.145086765289307,48.515450553252144,37.06936233545473
10,260,0.15181868376611132,10.22347342967987,"[-0.9917902316648717, -0.5091592179901363, 0.1708624225356678, -0.2003821411247657, -0.0453797202752351, 0.11830062642761402, 0.9957760511660962, -0.21832752175874734, -0.5598328116965049, 0.984335361356792, -0.17200315339330466, -0.2725058260298274, -0.05087368212143435, 0.9372166690969465, 0.4579110040524397, 0.2439043231017945, -0.4932689898389333, -0.12467174294766412, -0.02007467979228001, -0.16737626161612074, 0.9718547251656972]","[-1.0624869684462084, -0.522981775591965, 0.42120021718762235, -0.10661716787043334, 0.07054345065755023, 0.05486336271303634, 1.0903286659816644, -0.10521056875059649, -0.2555521309386521, 0.9708142244444481, -0.22081423424273658, -0.15707764371400518, -0.03326817859172034, 1.144508219485633, 0.37653267115282596, 0.16278721608847685, -0.4804929701972845, -0.002087084202109875, 0.029683765131226444, -0.00879956366055833, 1.0583563976877366]",10.613031029701233,"[-0.9501609134113594, -0.6059913418033989, 0.5784477732697382, -0.25654893638521087, -0.03819124123655733, 0.029990337561177687, 0.8384837539875866, -0.09341763791131494, -0.18993295402957203, 0.9105853425230517, -0.14260910662201035, -0.07666643883436543, -0.14327145385501477, 0.9779790271634449, 0.5231656155841397, 0.24614570837159766, -0.5973420421909694, 0.092715728393994, 0.09745398730085965, -0.012203504730302496, 0.978957227078818]",10.613031029701233,33.873595726031525,18.85696503790767
