generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,26,0.09337389486460292,9.858253479003906,"[-0.7489990749961561, -0.8425159986846177, -0.2896181183745542, 0.0073054332948457356, 0.04447477148380956, -0.002002468861959852, 0.9796679520518339, -0.16339857870772656, -0.4121893526022945, 0.5935703184002902, -0.13535673994448114, 0.15984129106246792, 0.12481008550918271, 0.9721002857958274, 0.5683498655473149, -0.06075460173786562, -0.40731760683850093, 0.08988629134170678, 0.06031391750205767, -0.09223556479414875, 0.9845768624368985]","[-0.7405121193518006, -0.755376586984034, -0.2814927830376369, -0.0004092491569499793, 0.00042610502380273195, -0.04129249835731702, 1.0430999441181557, -0.09788667327793768, -0.36520723148756956, 0.6937016985843484, -0.05324672783737269, 0.04689818065970732, 0.009883058066042508, 1.0366995978854407, 0.5179951121220027, -0.006981695677474656, -0.3442937850018254, 0.012047682318804856, 0.01660272147256143, -0.04747246234487528, 1.004213401443032]",9.8582535,"[-0.7489990749961561, -0.8425159986846177, -0.2896181183745542, 0.0073054332948457356, 0.04447477148380956, -0.002002468861959852, 0.9796679520518339, -0.16339857870772656, -0.4121893526022945, 0.5935703184002902, -0.13535673994448114, 0.15984129106246792, 0.12481008550918271, 0.9721002857958274, 0.5683498655473149, -0.06075460173786562, -0.40731760683850093, 0.08988629134170678, 0.06031391750205767, -0.09223556479414875, 0.9845768624368985]",9.8582535,17.28407,27.752136
2,52,0.09407368588406997,9.858253479003906,"[-0.7489990749961561, -0.8425159986846177, -0.2896181183745542, 0.0073054332948457356, 0.04447477148380956, -0.002002468861959852, 0.9796679520518339, -0.16339857870772656, -0.4121893526022945, 0.5935703184002902, -0.13535673994448114, 0.15984129106246792, 0.12481008550918271, 0.9721002857958274, 0.5683498655473149, -0.06075460173786562, -0.40731760683850093, 0.08988629134170678, 0.06031391750205767, -0.09223556479414875, 0.9845768624368985]","[-0.7440599514781931, -0.7052319700355595, -0.31611897663272576, -0.055598160945184986, -0.020336453456670175, -0.051189850509762956, 1.1082304373092535, -0.1008053099969325, -0.41370882936764347, 0.6329669723967387, -0.0586498257687788, 0.06777322077205433, 0.04181605347533981, 1.017656099106385, 0.501372423345822, -0.04794984847624777, -0.3941242588952382, -0.009052544647353352, -0.015918633601624523, -0.06134554580496696, 1.0084823089733606]",10.137242,"[-0.7288612543394183, -0.5864081025585745, -0.42661763940752206, -0.09014528812396172, -0.08774195111772701, -0.0359695816763755, 0.9278934604325225, -0.0910466817554171, -0.48610539513478934, 0.6595128613001743, -0.06119735921040078, 0.11440181416477702, 0.08666380532025124, 0.9999970811448995, 0.4516969418147815, -0.14890321836782394, -0.4459944056177503, -0.02006074981191574, -0.03750359492801667, -0.05622534394536638, 0.9672114833465951]",10.137242,14.702235,11.9499
3,78,0.09539627475852046,9.671656608581543,"[-0.7584311577163171, -0.7048390480140234, -0.1933383237741257, -0.021323449967903474, -0.04305156808298054, -0.09763615487194113, 0.9862487925421238, -0.11137575460986097, -0.4800119645551211, 0.6133581774532555, 0.11363781446884386, 0.2392367258324153, 0.09560730577685674, 0.9928330827059081, 0.47399388864999903, -0.07552199636648299, -0.5512534227328183, 0.14229899799078155, -0.03185274141436255, 0.013697407687064879, 0.9972522904284253]","[-0.8035342852377618, -0.6978010088854969, -0.3192924406663808, -0.05496928286082977, -0.0337688658078074, -0.027978559986908128, 1.0336504093164398, -0.12079711736071963, -0.42700423852563996, 0.6456365450508362, 0.013449545231944164, 0.11956646341123002, 0.047475368389652356, 1.0395905316515115, 0.47484696663149323, -0.05284495136317539, -0.46292526934372485, 0.01933332775949877, 0.017614087731877223, 0.004303171978592021, 1.0353542299115472]",9.671657,"[-0.7584311577163171, -0.7048390480140234, -0.1933383237741257, -0.021323449967903474, -0.04305156808298054, -0.09763615487194113, 0.9862487925421238, -0.11137575460986097, -0.4800119645551211, 0.6133581774532555, 0.11363781446884386, 0.2392367258324153, 0.09560730577685674, 0.9928330827059081, 0.47399388864999903, -0.07552199636648299, -0.5512534227328183, 0.14229899799078155, -0.03185274141436255, 0.013697407687064879, 0.9972522904284253]",9.671657,19.085741,27.484926
4,104,0.09928835807670225,9.472702026367188,"[-0.9320920110777524, -0.7482624359073585, -0.3049095302767304, 0.029031938975062975, 0.010367276129838413, -0.028155501994612336, 0.9750052781061737, -0.03132805399357727, -0.3369777511457867, 0.5603809407644159, -0.03972936992131275, 0.023490735814797423, 0.027922947866940148, 0.9458253110982325, 0.48916799208299055, -0.18174364267094675, -0.5468368385887974, -0.021316775448812695, 0.0015140169276726297, 0.08291676842262656, 0.9979760618352994]","[-0.8719279349799883, -0.7175499590320165, -0.285608014743662, -0.045298621808208824, 0.008987750281498511, -0.041773228453175125, 1.0561822975141508, -0.07768863396347832, -0.3909624415531364, 0.5900394149650292, 0.023674446986461633, 0.09559719368179441, 0.017505381771588478, 1.09964351219007, 0.4841789632226815, -0.07169336194664437, -0.5117073116881994, 0.09063039795325283, -0.04275374417696925, 0.019344453514855826, 1.0338669206475684]",9.472702,"[-0.9320920110777524, -0.7482624359073585, -0.3049095302767304, 0.029031938975062975, 0.010367276129838413, -0.028155501994612336, 0.9750052781061737, -0.03132805399357727, -0.3369777511457867, 0.5603809407644159, -0.03972936992131275, 0.023490735814797423, 0.027922947866940148, 0.9458253110982325, 0.48916799208299055, -0.18174364267094675, -0.5468368385887974, -0.021316775448812695, 0.0015140169276726297, 0.08291676842262656, 0.9979760618352994]",9.472702,12.526,6.4045334
5,130,0.10241351315148566,8.735786437988281,"[-0.9462643991764621, -0.5986839401762944, -0.13852796330395492, -0.1159369053063147, -0.0009316524757963986, 0.08762903690281262, 0.9885121153618861, -0.17190113611320212, -0.22973789683328516, 0.5148518245849945, 0.03634178084471997, 0.20218302953314865, 0.1342562294612921, 0.90520269644902, 0.5736532786252313, -0.10403291765007022, -0.5887640740607608, -0.09452883380894268, 0.0616894347648455, -0.05838649046827393, 0.9953993004729569]","[-0.8965992986982709, -0.6256522523412795, -0.24505976403113383, -0.05400820146098076, -0.005362877893615762, 0.001759683185790781, 1.057352496779233, -0.10413544247929032, -0.3245471934486277, 0.595783641269999, 0.0522834950007923, 0.10826120680766926, 0.018667971638138603, 1.097592042574348, 0.551696535119241, -0.08673502749221476, -0.5242697961973212, 0.05260390562294143, 0.003040155990093559, -0.04333849943172564, 1.035139124410392]",8.735786,"[-0.9462643991764621, -0.5986839401762944, -0.13852796330395492, -0.1159369053063147, -0.0009316524757963986, 0.08762903690281262, 0.9885121153618861, -0.17190113611320212, -0.22973789683328516, 0.5148518245849945, 0.03634178084471997, 0.20218302953314865, 0.1342562294612921, 0.90520269644902, 0.5736532786252313, -0.10403291765007022, -0.5887640740607608, -0.09452883380894268, 0.0616894347648455, -0.05838649046827393, 0.9953993004729569]",8.735786,19.21013,40.67719
6,156,0.10722782780269531,8.735786437988281,"[-0.9462643991764621, -0.5986839401762944, -0.13852796330395492, -0.1159369053063147, -0.0009316524757963986, 0.08762903690281262, 0.9885121153618861, -0.17190113611320212, -0.22973789683328516, 0.5148518245849945, 0.03634178084471997, 0.20218302953314865, 0.1342562294612921, 0.90520269644902, 0.5736532786252313, -0.10403291765007022, -0.5887640740607608, -0.09452883380894268, 0.0616894347648455, -0.05838649046827393, 0.9953993004729569]","[-0.9042863574064981, -0.6080126802496697, -0.22645693356933352, -0.11159093943932301, -0.018826243675726495, 0.031141955209977572, 1.0189346391758145, -0.12195291075893538, -0.3015592533677322, 0.5450936287784232, 0.04983233738489645, 0.14464342362400337, -0.03618592136322566, 1.084955196019185, 0.5381198247003348, 0.022096944244014666, -0.559899231656305, 0.006388047136346405, 0.01841098162904464, -0.04179130849613281, 1.0845204917307747]",9.080289,"[-0.984918740059942, -0.6463589650923697, -0.24986031700970063, -0.19534719442433585, -0.051493401696310045, 0.08682386739977138, 0.939478867986801, -0.29038027384790693, -0.3288337428122582, 0.5805898136627139, -0.11087542665134448, 0.16742826592294724, -0.013874927180820583, 0.9519837830604094, 0.5273453574281491, 0.22293062056892884, -0.5564289000736465, -0.08764283735195424, 0.013831827214184708, -0.14843308557549123, 0.9813063158982074]",9.080289,16.43729,14.471165
7,182,0.10945078906167925,8.735786437988281,"[-0.9462643991764621, -0.5986839401762944, -0.13852796330395492, -0.1159369053063147, -0.0009316524757963986, 0.08762903690281262, 0.9885121153618861, -0.17190113611320212, -0.22973789683328516, 0.5148518245849945, 0.03634178084471997, 0.20218302953314865, 0.1342562294612921, 0.90520269644902, 0.5736532786252313, -0.10403291765007022, -0.5887640740607608, -0.09452883380894268, 0.0616894347648455, -0.05838649046827393, 0.9953993004729569]","[-0.8997351505400154, -0.556930398743088, -0.23003035065389454, -0.1476746670682327, -0.019758042029873205, 0.023650242029673956, 1.0410120541077112, -0.12391470587095914, -0.2632229947161569, 0.5619977574490632, 0.10398142985283576, 0.17833130719148607, -0.04775096114123654, 1.0419790576738577, 0.5275908246709989, 0.04914473712719741, -0.5408282879966819, -0.01733185714031732, 0.02073116520269442, -0.04907009885510204, 1.0759819122204926]",8.926818,"[-0.9685341636379476, -0.47745563100913624, -0.2268848133245721, -0.2901495331811841, 0.02650139984447783, 0.17131684789611454, 0.9731378732648307, -0.21767459316376764, -0.172850823291834, 0.49754694425245666, 0.1413153942084573, 0.3443979657356393, -0.13597216319769753, 0.9997867597617781, 0.5308729540192733, -0.05102464119014061, -0.6562111151187557, 0.009160161301661135, 0.005475994685139542, -0.011672295178113589, 0.9026303907020966]",8.926818,12.174723,7.149694
8,208,0.1080762049881462,8.735786437988281,"[-0.9462643991764621, -0.5986839401762944, -0.13852796330395492, -0.1159369053063147, -0.0009316524757963986, 0.08762903690281262, 0.9885121153618861, -0.17190113611320212, -0.22973789683328516, 0.5148518245849945, 0.03634178084471997, 0.20218302953314865, 0.1342562294612921, 0.90520269644902, 0.5736532786252313, -0.10403291765007022, -0.5887640740607608, -0.09452883380894268, 0.0616894347648455, -0.05838649046827393, 0.9953993004729569]","[-0.9311588231543362, -0.5665427177036586, -0.24326719896632162, -0.1330312048127093, -0.022440910563153407, 0.014948449574498509, 1.067190242390749, -0.05906373221009009, -0.23752676511305587, 0.5234764445230042, 0.09531106418469479, 0.15327443520708622, -0.08774898238609624, 1.017186564947316, 0.5162528319866433, 0.09637612198747472, -0.526423465865362, 0.010224028071884599, 0.014473166929441448, -0.04696138383533738, 1.0712407893440692]",9.385001,"[-0.9873820414485821, -0.6858531138479811, -0.2857345027183258, -0.07602914120821856, 0.04874494887417065, -0.12649568125213578, 0.9768278162386645, 0.09674994371756156, -0.06533959225152389, 0.5681461554549714, 0.15967334215736567, 0.2544248481111102, -0.11268719441665928, 0.959463454745056, 0.5529002422895024, 0.1397402635851381, -0.4660226314647544, -0.0037886874665127874, 0.07986932986247305, -0.012464219309679926, 0.9996299828517754]",9.385001,22.600573,29.976318
9,234,0.10787505690565156,8.735786437988281,"[-0.9462643991764621, -0.5986839401762944, -0.13852796330395492, -0.1159369053063147, -0.0009316524757963986, 0.08762903690281262, 0.9885121153618861, -0.17190113611320212, -0.22973789683328516, 0.5148518245849945, 0.03634178084471997, 0.20218302953314865, 0.1342562294612921, 0.90520269644902, 0.5736532786252313, -0.10403291765007022, -0.5887640740607608, -0.09452883380894268, 0.0616894347648455, -0.05838649046827393, 0.9953993004729569]","[-0.9661542053003127, -0.4951514064649241, -0.2519046255580841, -0.10185341224796128, -0.006286950207382268, -0.022060834896492087, 1.059256800802946, -0.0807106253289569, -0.1431985877122307, 0.5180693917191892, 0.01974077452692893, 0.14163685932996503, -0.038747464742451374, 1.0403352706141795, 0.532514073677941, 0.060361992496160595, -0.5605356658469557, -0.01251236780357095, 0.02510996619438283, -0.014451771724639803, 1.065183216800502]",9.01068,"[-0.9684325980451264, -0.3516460205843085, -0.14854667254555132, -0.008968529827962063, 0.044146780601060864, 0.14589622404548072, 0.9992212279764047, -0.22831618543117116, -0.12253636446114859, 0.6351752307979442, 0.05212334537157894, 0.1789861730870751, 0.040686537970943626, 0.9252348072066848, 0.5652059877438458, 0.07781273262607744, -0.5952963798343776, 0.13534344772898874, 0.03589097792191726, 0.08910505159069726, 0.972842947126371]",9.01068,10.155605,0.8078748
10,260,0.10625645594914811,8.735786437988281,"[-0.9462643991764621, -0.5986839401762944, -0.13852796330395492, -0.1159369053063147, -0.0009316524757963986, 0.08762903690281262, 0.9885121153618861, -0.17190113611320212, -0.22973789683328516, 0.5148518245849945, 0.03634178084471997, 0.20218302953314865, 0.1342562294612921, 0.90520269644902, 0.5736532786252313, -0.10403291765007022, -0.5887640740607608, -0.09452883380894268, 0.0616894347648455, -0.05838649046827393, 0.9953993004729569]","[-0.9653312634946285, -0.46143586654987656, -0.269656234351479, -0.04601905650973636, 1.548939364826458e-05, -0.041211402451934755, 1.0538781345769912, -0.09658527027690221, -0.17193028240440547, 0.4735989103364097, -0.018641027345018726, 0.1175497435999949, -0.048709378285658196, 1.0141258271079805, 0.5275976567935553, 0.058536104477724636, -0.5815161009533373, -0.07741141380898137, 0.01300963177401375, -0.02568061220157005, 1.0631037497478937]",8.830797,"[-0.8917471069818588, -0.3701834762645782, -0.2413087081826062, -0.10757014909672608, -0.07751522762379626, 0.02036996186612906, 0.9995253872938573, -0.10078016849645723, -0.20215409061431477, 0.5276443545029101, -0.07050348933471265, 0.023325079341807012, -0.07719596597811143, 0.9658538086808821, 0.5079428693723811, 0.16579868682018203, -0.6237043610506473, -0.07799173002434387, 0.005959818167410147, -0.105803179379017, 0.9688126415187055]",8.830797,10.343001,1.0211047
