generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,26,0.09166492913838334,10.498089790344238,"[-0.6667506601811937, -0.7834581037337873, -0.27029429307408304, -0.1421379958136337, -0.032012607074138465, 0.00919039813948419, 0.9041445386474374, -0.31544077161926154, -0.3070638158423738, 0.7068521604712988, -0.1355208458430316, 0.08164548964185611, -0.0800356775202109, 0.9891801523129078, 0.591726391126775, -0.08675399871433498, -0.40724380190516946, -0.00012425459783231465, 0.06858587441176271, -0.13474423018452975, 0.9778931659291664]","[-0.7806014469352381, -0.7781876126848166, -0.22153489746640917, -0.018643624074057966, 0.0025923084756974213, 0.04345373407426137, 0.9930998050123457, -0.15933914194795057, -0.3230598153364334, 0.7287672423524193, 0.013606193903444853, 0.051178325384240095, -0.026834227076790125, 1.0486097999543524, 0.4862974559412876, 0.002296834571220728, -0.3095416673283127, -0.014452597070466882, 0.012176628284168276, -0.01832192278067276, 1.031819009862125]",10.49809,"[-0.6667506601811937, -0.7834581037337873, -0.27029429307408304, -0.1421379958136337, -0.032012607074138465, 0.00919039813948419, 0.9041445386474374, -0.31544077161926154, -0.3070638158423738, 0.7068521604712988, -0.1355208458430316, 0.08164548964185611, -0.0800356775202109, 0.9891801523129078, 0.591726391126775, -0.08675399871433498, -0.40724380190516946, -0.00012425459783231465, 0.06858587441176271, -0.13474423018452975, 0.9778931659291664]",10.49809,36.003975,53.269524
2,52,0.09218332001338696,9.618532180786133,"[-0.7491077072008631, -0.8215777394839019, -0.2356205607288412, -0.047152441483526875, -0.0818748024919811, -0.02182953355936619, 0.9947526726145964, -0.3256402339257559, -0.2859092755724164, 0.750765459923349, 0.004302838209044485, -0.0009397610965758973, -0.030541491718558477, 0.9862609410489587, 0.5595301806383922, -0.016501390489699924, -0.5099662546260889, -0.013299980463537064, -0.017288683340633805, 0.019596750682850612, 0.9996097131221245]","[-0.8104860274453393, -0.7902934806515179, -0.2447000760827538, -0.09254911207048463, -0.0379220279402153, 0.04438158669766109, 1.0018721636108536, -0.1910149315519983, -0.322708295995136, 0.7473789202926135, 0.03294884752927133, 0.11385943561254915, -0.03136337772164474, 1.081210214151206, 0.5088275138644605, -0.019539979554842095, -0.39257318305401223, -0.04936891479088599, -0.013116791503256372, 0.013809440871285708, 1.0555158208204272]",9.618532,"[-0.7491077072008631, -0.8215777394839019, -0.2356205607288412, -0.047152441483526875, -0.0818748024919811, -0.02182953355936619, 0.9947526726145964, -0.3256402339257559, -0.2859092755724164, 0.750765459923349, 0.004302838209044485, -0.0009397610965758973, -0.030541491718558477, 0.9862609410489587, 0.5595301806383922, -0.016501390489699924, -0.5099662546260889, -0.013299980463537064, -0.017288683340633805, 0.019596750682850612, 0.9996097131221245]",9.618532,22.860044,39.96215
3,78,0.09687672930652745,9.618532180786133,"[-0.7491077072008631, -0.8215777394839019, -0.2356205607288412, -0.047152441483526875, -0.0818748024919811, -0.02182953355936619, 0.9947526726145964, -0.3256402339257559, -0.2859092755724164, 0.750765459923349, 0.004302838209044485, -0.0009397610965758973, -0.030541491718558477, 0.9862609410489587, 0.5595301806383922, -0.016501390489699924, -0.5099662546260889, -0.013299980463537064, -0.017288683340633805, 0.019596750682850612, 0.9996097131221245]","[-0.8655437082414229, -0.8297967243887908, -0.24121153580264856, -0.10443314157761817, -0.05648234216264756, 0.06647563195352238, 1.0614244715014483, -0.16920671671415113, -0.31080333518462866, 0.7308379398654635, 0.037641006949514264, 0.11918045072844392, -0.014300076730243598, 1.11722871642334, 0.5300161626319781, -0.09940923098278008, -0.4565711844673867, -0.004491819315726378, 0.013980454723489785, 0.0035760857217400697, 1.0188034574344693]",9.672873,"[-0.8273160728601875, -0.8504678887612936, -0.25336138467169483, -0.10213334705050495, -0.021041807034892814, 0.11120757264951955, 0.9799163737680605, -0.26852917566265844, -0.25974197060378795, 0.7233600212833141, 0.06122285120671389, 0.08550247904624898, 0.14711178483607648, 0.847020671636331, 0.5355559625699364, -0.1943797468383817, -0.47544281370795427, -0.0832493550866614, 0.029312893549813167, 0.01709160205730128, 0.8464094432680602]",9.672873,13.979456,10.506901
4,104,0.10127901774445626,9.618532180786133,"[-0.7491077072008631, -0.8215777394839019, -0.2356205607288412, -0.047152441483526875, -0.0818748024919811, -0.02182953355936619, 0.9947526726145964, -0.3256402339257559, -0.2859092755724164, 0.750765459923349, 0.004302838209044485, -0.0009397610965758973, -0.030541491718558477, 0.9862609410489587, 0.5595301806383922, -0.016501390489699924, -0.5099662546260889, -0.013299980463537064, -0.017288683340633805, 0.019596750682850612, 0.9996097131221245]","[-0.9013096007515989, -0.8348481637622274, -0.2607754878835607, -0.20466577869640776, -0.07046231021990405, 0.03770882144129656, 1.0619411366270641, -0.1552426745153537, -0.29322327723046127, 0.7355114662415623, 0.00736936065470049, 0.17289971137672372, 0.04083574388891443, 1.135706455268767, 0.5005988999025, -0.03130677655057055, -0.4474235199120805, 0.010926859217273174, 0.015193607126308687, -0.005006806166890622, 1.0567533384436016]",9.843469,"[-0.8290106779935693, -0.8800482535387257, -0.329720276471102, -0.45890648281085455, -0.16447482064051505, 0.007225598811355836, 0.9829354831256218, -0.20055442912194463, -0.42069911469870924, 0.7562878327571582, -0.1935176138552236, 0.19982772649025893, 0.04993411821867799, 0.9558282422805802, 0.3579900445809533, -0.0974499431275898, -0.48188001879829817, 0.022599025791327366, -0.06543179189078052, -0.07980093818211109, 0.959403036841908]",9.843469,13.742218,9.620781
5,130,0.10466940022347149,9.453700065612793,"[-0.9674125948735066, -0.7364474727488136, -0.32347498795493146, -0.12317428625541647, -0.21165628161703226, 0.03083513554776197, 0.968062313564386, -0.24705188154088414, -0.24441580440280705, 0.7467041887137612, -0.1317300491051414, 0.26584219717851504, 0.20886387725362549, 0.9726744425337107, 0.5820180651508978, -0.07129616635390312, -0.514450636444766, -0.07951901633386789, 0.0853293955616119, 0.06656907398806786, 0.9040975643926519]","[-0.9425901503299643, -0.838585499749977, -0.30222849462722917, -0.18262878947340722, -0.1164758108937114, 0.027302658735304065, 1.065024258296538, -0.17332163042031692, -0.3132516795545736, 0.7262232446250902, -0.016758599419391965, 0.1606409950181863, 0.10069216800890857, 1.1313094113868059, 0.5598656892810666, -0.04049391628965297, -0.48623310370011735, -0.025213786788337723, 0.059533044062899304, 0.0043050240700849, 1.0131478425029512]",9.4537,"[-0.9674125948735066, -0.7364474727488136, -0.32347498795493146, -0.12317428625541647, -0.21165628161703226, 0.03083513554776197, 0.968062313564386, -0.24705188154088414, -0.24441580440280705, 0.7467041887137612, -0.1317300491051414, 0.26584219717851504, 0.20886387725362549, 0.9726744425337107, 0.5820180651508978, -0.07129616635390312, -0.514450636444766, -0.07951901633386789, 0.0853293955616119, 0.06656907398806786, 0.9040975643926519]",9.4537,10.775009,0.7243907
6,156,0.10401374011723985,9.236932754516602,"[-0.8973094377184455, -0.6680115380968663, -0.41876863214119076, -0.27873745376264186, -0.0915186526508786, -0.112128875640001, 0.9743868574307295, -0.00046699341225514557, -0.20026798463116957, 0.726040062892415, -0.04679129924667917, 0.09285403501929307, 0.18109124978073793, 0.9880578153023504, 0.5413199737914589, 0.19535952509476384, -0.5148311196046983, -0.09600445099260552, 0.028956264162089303, -0.030557551833154464, 0.9968527235556544]","[-0.916229125850976, -0.8128177419815766, -0.3266956757043197, -0.21653897055792976, -0.10587451408086705, -0.015595077926032938, 1.0437853268453376, -0.12824917794537993, -0.31344552089147765, 0.6877683366966035, -0.05979486159699239, 0.15180255779125407, 0.11163022327445342, 1.1563991769848925, 0.5379261184691184, -0.05680167381618788, -0.5049324607123502, -0.023379277054413568, 0.02048214284183451, -0.05261202271876455, 1.0177817759182528]",9.236933,"[-0.8973094377184455, -0.6680115380968663, -0.41876863214119076, -0.27873745376264186, -0.0915186526508786, -0.112128875640001, 0.9743868574307295, -0.00046699341225514557, -0.20026798463116957, 0.726040062892415, -0.04679129924667917, 0.09285403501929307, 0.18109124978073793, 0.9880578153023504, 0.5413199737914589, 0.19535952509476384, -0.5148311196046983, -0.09600445099260552, 0.028956264162089303, -0.030557551833154464, 0.9968527235556544]",9.236933,15.078624,11.73805
7,182,0.10252576337638261,9.218362808227539,"[-0.991642339061962, -0.8325818127553315, -0.19725090096703618, -0.17629549810976575, -0.19613909991849787, -0.09566773876388104, 0.8575861652616716, -0.3415421470728711, -0.2590700665736253, 0.7435004850794901, -0.12212427055718876, 0.21081413982589198, 0.08762558072295998, 0.9649224701092618, 0.5715991869632295, -0.14802706286220385, -0.5520202868394684, 0.010175574807336746, -0.04963129287279604, -0.012797734230885267, 0.9970736733629358]","[-0.9247380495198807, -0.7556214565588137, -0.2822223715413019, -0.19642688861899946, -0.13426564611715958, -0.014153305962010395, 1.0242900173704246, -0.1583888809189127, -0.3827533254417327, 0.7104506766430054, -0.11214544862946724, 0.15232354463334247, 0.1448681282921257, 1.1488619112922087, 0.5782328269440664, -0.0162685572306306, -0.5381514203980039, -0.02207401152717417, 0.013632641642334697, -0.038287664266934335, 1.0172064096407143]",9.218363,"[-0.991642339061962, -0.8325818127553315, -0.19725090096703618, -0.17629549810976575, -0.19613909991849787, -0.09566773876388104, 0.8575861652616716, -0.3415421470728711, -0.2590700665736253, 0.7435004850794901, -0.12212427055718876, 0.21081413982589198, 0.08762558072295998, 0.9649224701092618, 0.5715991869632295, -0.14802706286220385, -0.5520202868394684, 0.010175574807336746, -0.04963129287279604, -0.012797734230885267, 0.9970736733629358]",9.218363,10.489532,1.1500288
8,208,0.10023179097504582,9.218362808227539,"[-0.991642339061962, -0.8325818127553315, -0.19725090096703618, -0.17629549810976575, -0.19613909991849787, -0.09566773876388104, 0.8575861652616716, -0.3415421470728711, -0.2590700665736253, 0.7435004850794901, -0.12212427055718876, 0.21081413982589198, 0.08762558072295998, 0.9649224701092618, 0.5715991869632295, -0.14802706286220385, -0.5520202868394684, 0.010175574807336746, -0.04963129287279604, -0.012797734230885267, 0.9970736733629358]","[-0.9054090122964882, -0.7990408730119807, -0.27570678876013777, -0.19289083205727767, -0.10704910455213919, -0.01661058408460942, 0.9962646299684736, -0.1635129049395775, -0.4086200761568619, 0.6724541194031673, -0.14279402495510982, 0.148681239322499, 0.19732381587663253, 1.1819129958110965, 0.5241582352361716, -0.0491510314411342, -0.545249258931551, -0.02373525607624253, 0.025576539282817164, -0.027384083458796383, 0.9708563414027771]",9.281809,"[-0.8318905898075866, -0.9044222691754461, -0.1866628317033472, -0.19125269337543427, -0.05678487535569503, -0.01820848158133406, 0.9651534188813462, -0.18292935004591002, -0.4312021989242291, 0.6531411714928205, -0.11837999266563028, 0.17485254271296796, 0.26307993300390264, 0.8031378628437377, 0.45947120216921594, 0.0071233262628933765, -0.5416221392715429, -0.19383799209164318, 0.01739885166497106, -0.024345399875626415, 0.8320889341190972]",9.281809,13.266352,9.493892
9,234,0.10087624305075148,9.218362808227539,"[-0.991642339061962, -0.8325818127553315, -0.19725090096703618, -0.17629549810976575, -0.19613909991849787, -0.09566773876388104, 0.8575861652616716, -0.3415421470728711, -0.2590700665736253, 0.7435004850794901, -0.12212427055718876, 0.21081413982589198, 0.08762558072295998, 0.9649224701092618, 0.5715991869632295, -0.14802706286220385, -0.5520202868394684, 0.010175574807336746, -0.04963129287279604, -0.012797734230885267, 0.9970736733629358]","[-0.9378484426721125, -0.7733984098694476, -0.25554466119698627, -0.25350358128065115, -0.11010630671984614, -0.01960512779442409, 0.9821251911780811, -0.21946617751134379, -0.38964179617854366, 0.6418360641439955, -0.19863204616110677, 0.17062640300037368, 0.21978726346906305, 1.2158325685792304, 0.4940644789152943, -0.05037593782190275, -0.5838026395122946, 0.0029256294444035646, -0.0010625659238006472, -0.05722359917094153, 0.9785895643059909]",9.447228,"[-0.8833342695555259, -0.7786287935122721, -0.1659258666475482, -0.25305885711322446, -0.0806417255888654, 0.07502711279399621, 0.9682960710237855, -0.37911391324406635, -0.43933283314794225, 0.6209967125557506, -0.22910077154264785, 0.11334071522598593, 0.15237377952140485, 0.9443141592312282, 0.44804666582917574, -0.04529200582315198, -0.7619026275506272, 0.03879085336964947, -0.07589371603607145, -0.07377737826801452, 0.9996272227080186]",9.447228,12.923679,8.995936
10,260,0.10440182144599065,8.652084350585938,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]","[-0.9852376093596417, -0.7881974758850471, -0.26060621486720825, -0.32500505796539836, -0.15951651463690347, 0.002407899160055659, 0.9589336087883988, -0.21563234179322494, -0.4008505974548351, 0.616508832343383, -0.2444688613656535, 0.23736858345429812, 0.23949539049061072, 1.2521718978533438, 0.4879510818254827, -0.05276155994722546, -0.6061313118534649, -0.006096802205648493, -0.02728584680891362, -0.08226628117435912, 0.9641600664347881]",8.652084,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]",8.652084,10.469395,1.117493
